Resumen de training_data_v5 (6 filas x 2001 cols)
--------------------------------------------------
Col 285: Min=1.115 | Max=25.000 | Mean=10.599 | Infs=0 | NaNs=0
Col 286: Min=-0.000 | Max=41.215 | Mean=10.702 | Infs=0 | NaNs=0
Col 287: Min=-0.158 | Max=40.336 | Mean=10.623 | Infs=0 | NaNs=0
Col 288: Min=-0.238 | Max=39.986 | Mean=10.261 | Infs=0 | NaNs=0
Col 289: Min=1.117 | Max=25.000 | Mean=10.313 | Infs=0 | NaNs=0
Col 290: Min=1.117 | Max=25.000 | Mean=10.530 | Infs=0 | NaNs=0
Col 291: Min=0.000 | Max=41.461 | Mean=10.757 | Infs=0 | NaNs=0
Col 292: Min=-0.642 | Max=37.431 | Mean=10.005 | Infs=0 | NaNs=0
Col 293: Min=-1.131 | Max=25.000 | Mean=7.362 | Infs=0 | NaNs=0
Col 294: Min=0.140 | Max=40.029 | Mean=9.634 | Infs=0 | NaNs=0
Col 295: Min=1.105 | Max=25.000 | Mean=9.861 | Infs=0 | NaNs=0
Col 296: Min=0.000 | Max=41.286 | Mean=10.104 | Infs=0 | NaNs=0
Col 297: Min=-0.407 | Max=39.065 | Mean=9.603 | Infs=0 | NaNs=0
Col 298: Min=0.000 | Max=40.917 | Mean=9.523 | Infs=0 | NaNs=0
Col 299: Min=0.120 | Max=25.000 | Mean=6.736 | Infs=0 | NaNs=0
Col 300: Min=1.102 | Max=25.000 | Mean=9.220 | Infs=0 | NaNs=0
Col 301: Min=0.120 | Max=25.000 | Mean=6.815 | Infs=0 | NaNs=0
Col 302: Min=0.160 | Max=25.000 | Mean=6.872 | Infs=0 | NaNs=0
Col 303: Min=0.220 | Max=30.330 | Mean=7.824 | Infs=0 | NaNs=0
Col 304: Min=0.260 | Max=40.029 | Mean=9.398 | Infs=0 | NaNs=0
Col 305: Min=0.000 | Max=41.590 | Mean=9.722 | Infs=0 | NaNs=0
Col 306: Min=-0.000 | Max=41.286 | Mean=9.561 | Infs=0 | NaNs=0
Col 307: Min=0.340 | Max=36.979 | Mean=8.731 | Infs=0 | NaNs=0
Col 308: Min=0.260 | Max=25.000 | Mean=6.752 | Infs=0 | NaNs=0
Col 309: Min=0.280 | Max=25.000 | Mean=6.803 | Infs=0 | NaNs=0
Col 310: Min=0.300 | Max=25.000 | Mean=6.827 | Infs=0 | NaNs=0
Col 311: Min=0.320 | Max=32.413 | Mean=8.074 | Infs=0 | NaNs=0
